"Year","Month","Variable","Treatment","Value","Model"
2011,"Oct","maet","Control",21.149,"LPJGUESS"
2011,"Oct","mevap","Control",0,"LPJGUESS"
2011,"Oct","mgpp","Control",0.043,"LPJGUESS"
2011,"Oct","mlai","Control",5.269,"LPJGUESS"
2011,"Oct","mnee","Control",0.007,"LPJGUESS"
2011,"Oct","mnpp","Control",0.022,"LPJGUESS"
2011,"Oct","mra","Control",0.021,"LPJGUESS"
2011,"Oct","mrh","Control",0.028,"LPJGUESS"
2011,"Oct","mrunoff","Control",6.682,"LPJGUESS"
2011,"Oct","mwcont_lower","Control",0.847,"LPJGUESS"
2011,"Oct","mwcont_upper","Control",0.363,"LPJGUESS"
2011,"Sep","maet","Control",49.718,"LPJGUESS"
2011,"Sep","mevap","Control",0,"LPJGUESS"
2011,"Sep","mgpp","Control",0.105,"LPJGUESS"
2011,"Sep","mlai","Control",5.269,"LPJGUESS"
2011,"Sep","mnee","Control",-0.032,"LPJGUESS"
2011,"Sep","mnpp","Control",0.064,"LPJGUESS"
2011,"Sep","mra","Control",0.041,"LPJGUESS"
2011,"Sep","mrh","Control",0.033,"LPJGUESS"
2011,"Sep","mrunoff","Control",4.349,"LPJGUESS"
2011,"Sep","mwcont_lower","Control",0.865,"LPJGUESS"
2011,"Sep","mwcont_upper","Control",0.233,"LPJGUESS"
2012,"Apr","maet","Control",51.158,"LPJGUESS"
2012,"Apr","mevap","Control",0,"LPJGUESS"
2012,"Apr","mgpp","Control",0.108,"LPJGUESS"
2012,"Apr","mlai","Control",5.264,"LPJGUESS"
2012,"Apr","mnee","Control",-0.019,"LPJGUESS"
2012,"Apr","mnpp","Control",0.071,"LPJGUESS"
2012,"Apr","mra","Control",0.037,"LPJGUESS"
2012,"Apr","mrh","Control",0.052,"LPJGUESS"
2012,"Apr","mrunoff","Control",9.234,"LPJGUESS"
2012,"Apr","mwcont_lower","Control",0.97,"LPJGUESS"
2012,"Apr","mwcont_upper","Control",0.726,"LPJGUESS"
2012,"Aug","maet","Control",43.518,"LPJGUESS"
2012,"Aug","mevap","Control",0.003,"LPJGUESS"
2012,"Aug","mgpp","Control",0.089,"LPJGUESS"
2012,"Aug","mlai","Control",3.566,"LPJGUESS"
2012,"Aug","mnee","Control",0.015,"LPJGUESS"
2012,"Aug","mnpp","Control",0.053,"LPJGUESS"
2012,"Aug","mra","Control",0.036,"LPJGUESS"
2012,"Aug","mrh","Control",0.068,"LPJGUESS"
2012,"Aug","mrunoff","Control",6.476,"LPJGUESS"
2012,"Aug","mwcont_lower","Control",0.92,"LPJGUESS"
2012,"Aug","mwcont_upper","Control",0.447,"LPJGUESS"
2012,"Dec","maet","Control",1.428,"LPJGUESS"
2012,"Dec","mevap","Control",3.44,"LPJGUESS"
2012,"Dec","mgpp","Control",0,"LPJGUESS"
2012,"Dec","mlai","Control",2.547,"LPJGUESS"
2012,"Dec","mnee","Control",0.017,"LPJGUESS"
2012,"Dec","mnpp","Control",-0.003,"LPJGUESS"
2012,"Dec","mra","Control",0.003,"LPJGUESS"
2012,"Dec","mrh","Control",0.014,"LPJGUESS"
2012,"Dec","mrunoff","Control",4.149,"LPJGUESS"
2012,"Dec","mwcont_lower","Control",0.935,"LPJGUESS"
2012,"Dec","mwcont_upper","Control",0.645,"LPJGUESS"
2012,"Feb","maet","Control",0.127,"LPJGUESS"
2012,"Feb","mevap","Control",19.858,"LPJGUESS"
2012,"Feb","mgpp","Control",0,"LPJGUESS"
2012,"Feb","mlai","Control",0.089,"LPJGUESS"
2012,"Feb","mnee","Control",0.019,"LPJGUESS"
2012,"Feb","mnpp","Control",0,"LPJGUESS"
2012,"Feb","mra","Control",0,"LPJGUESS"
2012,"Feb","mrh","Control",0.019,"LPJGUESS"
2012,"Feb","mrunoff","Control",12.095,"LPJGUESS"
2012,"Feb","mwcont_lower","Control",0.926,"LPJGUESS"
2012,"Feb","mwcont_upper","Control",0.852,"LPJGUESS"
2012,"Jan","maet","Control",0,"LPJGUESS"
2012,"Jan","mevap","Control",13.942,"LPJGUESS"
2012,"Jan","mgpp","Control",0,"LPJGUESS"
2012,"Jan","mlai","Control",0,"LPJGUESS"
2012,"Jan","mnee","Control",0.017,"LPJGUESS"
2012,"Jan","mnpp","Control",0,"LPJGUESS"
2012,"Jan","mra","Control",0,"LPJGUESS"
2012,"Jan","mrh","Control",0.017,"LPJGUESS"
2012,"Jan","mrunoff","Control",4.735,"LPJGUESS"
2012,"Jan","mwcont_lower","Control",0.909,"LPJGUESS"
2012,"Jan","mwcont_upper","Control",0.834,"LPJGUESS"
2012,"Jul","maet","Control",55.923,"LPJGUESS"
2012,"Jul","mevap","Control",0.055,"LPJGUESS"
2012,"Jul","mgpp","Control",0.137,"LPJGUESS"
2012,"Jul","mlai","Control",4.391,"LPJGUESS"
2012,"Jul","mnee","Control",-0.041,"LPJGUESS"
2012,"Jul","mnpp","Control",0.082,"LPJGUESS"
2012,"Jul","mra","Control",0.055,"LPJGUESS"
2012,"Jul","mrh","Control",0.041,"LPJGUESS"
2012,"Jul","mrunoff","Control",5.415,"LPJGUESS"
2012,"Jul","mwcont_lower","Control",0.937,"LPJGUESS"
2012,"Jul","mwcont_upper","Control",0.068,"LPJGUESS"
2012,"Jun","maet","Control",89.735,"LPJGUESS"
2012,"Jun","mevap","Control",5.085,"LPJGUESS"
2012,"Jun","mgpp","Control",0.134,"LPJGUESS"
2012,"Jun","mlai","Control",4.732,"LPJGUESS"
