"Year","Month","Variable","Treatment","Value","Model"
2011,"Feb","mwcont_upper","Control",0.787,"LPJGUESS"
2011,"Jan","maet","Control",0,"LPJGUESS"
2011,"Jan","mevap","Control",2.197,"LPJGUESS"
2011,"Jan","mgpp","Control",0,"LPJGUESS"
2011,"Jan","mlai","Control",0,"LPJGUESS"
2011,"Jan","mnee","Control",0.009,"LPJGUESS"
2011,"Jan","mnpp","Control",0,"LPJGUESS"
2011,"Jan","mra","Control",0,"LPJGUESS"
2011,"Jan","mrh","Control",0.009,"LPJGUESS"
2011,"Jan","mrunoff","Control",0,"LPJGUESS"
2011,"Jan","mwcont_lower","Control",0.937,"LPJGUESS"
2011,"Jan","mwcont_upper","Control",0.765,"LPJGUESS"
2011,"Jul","maet","Control",101.262,"LPJGUESS"
2011,"Jul","mevap","Control",0.024,"LPJGUESS"
2011,"Jul","mgpp","Control",0.18,"LPJGUESS"
2011,"Jul","mlai","Control",5.395,"LPJGUESS"
2011,"Jul","mnee","Control",-0.062,"LPJGUESS"
2011,"Jul","mnpp","Control",0.112,"LPJGUESS"
2011,"Jul","mra","Control",0.068,"LPJGUESS"
2011,"Jul","mrh","Control",0.05,"LPJGUESS"
2011,"Jul","mrunoff","Control",13.866,"LPJGUESS"
2011,"Jul","mwcont_lower","Control",0.928,"LPJGUESS"
2011,"Jul","mwcont_upper","Control",0.181,"LPJGUESS"
2011,"Jun","maet","Control",119.398,"LPJGUESS"
2011,"Jun","mevap","Control",0,"LPJGUESS"
2011,"Jun","mgpp","Control",0.193,"LPJGUESS"
2011,"Jun","mlai","Control",5.668,"LPJGUESS"
2011,"Jun","mnee","Control",-0.056,"LPJGUESS"
2011,"Jun","mnpp","Control",0.128,"LPJGUESS"
2011,"Jun","mra","Control",0.065,"LPJGUESS"
2011,"Jun","mrh","Control",0.072,"LPJGUESS"
2011,"Jun","mrunoff","Control",18.84,"LPJGUESS"
2011,"Jun","mwcont_lower","Control",0.979,"LPJGUESS"
2011,"Jun","mwcont_upper","Control",0.654,"LPJGUESS"
2011,"Mar","maet","Control",1.687,"LPJGUESS"
2011,"Mar","mevap","Control",24.852,"LPJGUESS"
2011,"Mar","mgpp","Control",0.002,"LPJGUESS"
2011,"Mar","mlai","Control",0.735,"LPJGUESS"
2011,"Mar","mnee","Control",0.022,"LPJGUESS"
2011,"Mar","mnpp","Control",0.001,"LPJGUESS"
2011,"Mar","mra","Control",0.001,"LPJGUESS"
2011,"Mar","mrh","Control",0.022,"LPJGUESS"
2011,"Mar","mrunoff","Control",23.637,"LPJGUESS"
2011,"Mar","mwcont_lower","Control",0.987,"LPJGUESS"
2011,"Mar","mwcont_upper","Control",0.825,"LPJGUESS"
2011,"May","maet","Control",79.954,"LPJGUESS"
2011,"May","mevap","Control",0,"LPJGUESS"
2011,"May","mgpp","Control",0.148,"LPJGUESS"
2011,"May","mlai","Control",5.668,"LPJGUESS"
2011,"May","mnee","Control",-0.036,"LPJGUESS"
2011,"May","mnpp","Control",0.099,"LPJGUESS"
2011,"May","mra","Control",0.049,"LPJGUESS"
2011,"May","mrh","Control",0.063,"LPJGUESS"
2011,"May","mrunoff","Control",37.934,"LPJGUESS"
2011,"May","mwcont_lower","Control",0.99,"LPJGUESS"
2011,"May","mwcont_upper","Control",0.86,"LPJGUESS"
2011,"Nov","maet","Control",1.362,"LPJGUESS"
2011,"Nov","mevap","Control",14.176,"LPJGUESS"
2011,"Nov","mgpp","Control",0.001,"LPJGUESS"
2011,"Nov","mlai","Control",1.443,"LPJGUESS"
2011,"Nov","mnee","Control",0.029,"LPJGUESS"
2011,"Nov","mnpp","Control",-0.002,"LPJGUESS"
2011,"Nov","mra","Control",0.002,"LPJGUESS"
2011,"Nov","mrh","Control",0.027,"LPJGUESS"
2011,"Nov","mrunoff","Control",20.895,"LPJGUESS"
2011,"Nov","mwcont_lower","Control",0.81,"LPJGUESS"
2011,"Nov","mwcont_upper","Control",0.84,"LPJGUESS"
2011,"Oct","maet","Control",19.988,"LPJGUESS"
2011,"Oct","mevap","Control",0.079,"LPJGUESS"
2011,"Oct","mgpp","Control",0.034,"LPJGUESS"
2011,"Oct","mlai","Control",5.096,"LPJGUESS"
2011,"Oct","mnee","Control",0.009,"LPJGUESS"
2011,"Oct","mnpp","Control",0.015,"LPJGUESS"
2011,"Oct","mra","Control",0.018,"LPJGUESS"
2011,"Oct","mrh","Control",0.025,"LPJGUESS"
2011,"Oct","mrunoff","Control",3.431,"LPJGUESS"
2011,"Oct","mwcont_lower","Control",0.784,"LPJGUESS"
2011,"Oct","mwcont_upper","Control",0.262,"LPJGUESS"
2011,"Sep","maet","Control",36.169,"LPJGUESS"
2011,"Sep","mevap","Control",0.009,"LPJGUESS"
2011,"Sep","mgpp","Control",0.067,"LPJGUESS"
2011,"Sep","mlai","Control",4.158,"LPJGUESS"
2011,"Sep","mnee","Control",-0.013,"LPJGUESS"
2011,"Sep","mnpp","Control",0.04,"LPJGUESS"
2011,"Sep","mra","Control",0.027,"LPJGUESS"
2011,"Sep","mrh","Control",0.027,"LPJGUESS"
2011,"Sep","mrunoff","Control",6.002,"LPJGUESS"
2011,"Sep","mwcont_lower","Control",0.808,"LPJGUESS"
2011,"Sep","mwcont_upper","Control",0.126,"LPJGUESS"
2012,"Apr","maet","Control",53.245,"LPJGUESS"
2012,"Apr","mevap","Control",1.752,"LPJGUESS"
2012,"Apr","mgpp","Control",0.115,"LPJGUESS"
2012,"Apr","mlai","Control",4.895,"LPJGUESS"
2012,"Apr","mnee","Control",-0.024,"LPJGUESS"
2012,"Apr","mnpp","Control",0.076,"LPJGUESS"
2012,"Apr","mra","Control",0.038,"LPJGUESS"
2012,"Apr","mrh","Control",0.052,"LPJGUESS"
2012,"Apr","mrunoff","Control",13.095,"LPJGUESS"
2012,"Apr","mwcont_lower","Control",0.959,"LPJGUESS"
2012,"Apr","mwcont_upper","Control",0.712,"LPJGUESS"
2012,"Aug","maet","Control",77.502,"LPJGUESS"
2012,"Aug","mevap","Control",0.651,"LPJGUESS"
2012,"Aug","mgpp","Control",0.156,"LPJGUESS"
2012,"Aug","mlai","Control",4.895,"LPJGUESS"
2012,"Aug","mnee","Control",-0.037,"LPJGUESS"
2012,"Aug","mnpp","Control",0.097,"LPJGUESS"
2012,"Aug","mra","Control",0.058,"LPJGUESS"
2012,"Aug","mrh","Control",0.06,"LPJGUESS"
2012,"Aug","mrunoff","Control",10.23,"LPJGUESS"
